"location","source","target"
"","defaultheader2.Welcome","நல்வரவு"
"","defaultheader.'PublishFreeAd'","ஹலோ"
"","defaultheader.AdvancedSearch","நவீனமான தேடல்"
"","defaultheader.AllListings","எல்லா விளம்பரங்களும்"
"","defaultheader.Apr","ஏப்"
"","defaultheader.April","ஏப்ரல்"
"","defaultheader.Aug","ஆக"
"","defaultheader.August","ஆகஸ்ட்"
"","defaultheader.BackToBrandHomePage","<<BRAND>> முகப்புப்பக்கத்திற்குத் திரும்பிச் செல்"
"","defaultheader.BookAnOnlineAd","இணைய இழை விளம்பரம் ஒன்று பதிவு செய்க"
"","defaultheader.BrandChannel","<<BRAND>> அலைவரிசை"
"","defaultheader.BrandFullVersion","<<BRAND>> முழு பதிப்பு"
"","defaultheader.BrandNowSupportsVideosPostNow","புதிது: <<BRAND>>இல் இப்போது வீடியோ வசதி உண்டு! இப்போது வெளியிடுங்கள்!"
"","defaultheader.BrowseAds","விளம்பரங்களை உலாவிப் பார்க்க"
"","defaultheader.Categories","<<BRAND>> வகைகள்"
"","defaultheader.change","மாற்று"
"","defaultheader.Cities","நகரங்கள்"
"","defaultheader.ClassifiedsAndMuchMore","வரி விளம்பரங்கள் மற்றும் மேலும் அதிகமாக!"
"","defaultheader.ClassifiedsHelp","வரி விளம்பரங்கள் உதவி"
"","defaultheader.ClassifiedsHome","வரி விளம்பரங்கள் முகப்பு"
"","defaultheader.Click","இங்கு க்ளிக் செய்யவும்"
"","defaultheader.ClickHere","இங்கு க்ளிக் செய்யவும்"
"","defaultheader.CloseToYou","<<BRAND>> உங்களுக்கு அருகாமையில் உள்ள"
"","defaultheader.Dec","டிச"
"","defaultheader.December","டிசம்பர்"
"","defaultheader.Distance","தூரம்"
"","defaultheader.DragThisIconLogoBrandToYourWindowsTaskbarToPin","பின் செய்வதற்கு இந்த ஐகானை <<LOGO_IMAGE>>  உங்கள் Windows டாஸ்க்பாருக்கு இழுத்துச் செல்லவும்."
"","defaultheader.Exact","சரியாக"
"","defaultheader.ExperienceBrandAsPinnedSite","<<BRAND>> ஐ பின்னுடு சைட்டாக அனுபவித்திடுங்கள்!"
"","defaultheader.Features","<<BRAND>> சிறப்பியல்புகள்"
"","defaultheader.Feb","பிப்"
"","defaultheader.February","பிப்ரவரி"
"","defaultheader.FollowUsOnNetwork","எங்களை <<NETWORK>>இல் பின்தொடரவும்"
"","defaultheader.FreeSite","<AREA> இலவச வரி விளம்பரங்கள்"
"","defaultheader.Fri","வெ"
"","defaultheader.Friday","வெள்ளி"
"","defaultheader.FriendName1AndFriendName2AreUsingBrand","<<friendName1>> மற்றும் <<friendName2>> ஆகியோர் <<BRAND>> ஐ பயன்படுத்துகின்றனர்"
"","defaultheader.FriendName1FriendName2AndFriendsTotalMoreAreUsingBrand","<<friendName1>>, <<friendName2>> மற்றும் மேலும் <<friendsTotal>> நண்பர்கள்  <<BRAND>> ஐ பயன்படுத்துகின்றனர்"
