"location","source","target"
"","defaultheader.July","Júl"
"","defaultheader.Jun","Jún"
"","defaultheader.June","Jún"
"","defaultheader.JustOneStep","Iba 1 krok!"
"","defaultheader.ListingLanguage","Jazyk oznámenia"
"","defaultheader.Location","Miesto"
"","defaultheader.M","m "
"","defaultheader.Mar","Mar"
"","defaultheader.March","Marec"
"","defaultheader.May","Máj"
"","defaultheader.miles","míľ"
"","defaultheader.Minutes","minút"
"","defaultheader.MOBILE","MOBIL"
"","defaultheader.Modify","Zmeniť"
"","defaultheader.Mon","Po"
"","defaultheader.Monday","Pondelok"
"","defaultheader.My OLX","Môj OLX"
"","defaultheader.MyAdsOnBrand","Moje inzeráty na <<BRAND>>"
"","defaultheader.MyClassifieds","Moje inzeráty"
"","defaultheader.NeverAskAgain","Túto otázku už nezobrazovať"
"","defaultheader.NewListings","Nové oznámenia"
"","defaultheader.Not_You?","nie ste to vy"
"","defaultheader.Nov","Nov"
"","defaultheader.November","November"
"","defaultheader.Oct","Okt"
"","defaultheader.October","Október"
"","defaultheader.OLX","<<BRAND>>"
"","defaultheader.Optional","Voliteľné"
"","defaultheader.Or","alebo"
"","defaultheader.PlaceAdFree","Vložte inzerát ZADARMO"
"","defaultheader.PlaceAnAd","Vložte inzerát"
"","defaultheader.PlaceFreeAd","Vložte zdarma inzerát"
"","defaultheader.PopularSearches","Populárne hľadania"
"","defaultheader.Post","Uverejniť"
"","defaultheader.PostAdFree","Umiestnite inzerát ZADARMO"
"","defaultheader.PostAFreeAd","Uverejnite bezplatnú reklamu"
"","defaultheader.PostAFreeClassifiedAd","Uverejnite bezplatný inzerát"
"","defaultheader.PostAnAd","Umiestnite inzerát"
"","defaultheader.PostPicturesButton","Zverejnite obrázky"
"","defaultheader.PublishFreeAd","Uverejnite bezplatný inzerát"
"","defaultheader.Region","Región"
"","defaultheader.Register","Registrovať sa"
"","defaultheader.Register2","Registrovať sa"
"","defaultheader.Sat","So"
"","defaultheader.Saturday","Sobota"
"","defaultheader.Search","Hľadať"
"","defaultheader.Seconds","sekúnd"
"","defaultheader.SelectCityState","Vybrať mesto/štát"
"","defaultheader.SelectCountry","Vybrať krajinu"
"","defaultheader.Selected_Region","Miesto"
"","defaultheader.Sep","Sep"
"","defaultheader.September","September"
"","defaultheader.SiteLanguage","Oznámenia v jazyku:"
"","defaultheader.State","Štát"
"","defaultheader.StayConnected","Trvalé pripojenie"
"","defaultheader.Sun","Ne"
"","defaultheader.Sunday","Nedeľa"
"","defaultheader.TellUsYourOpinionAnswerTheSurvey","Vyjadrite svoj názor, vyplňte náš dotazník!"
"","defaultheader.TheWeb","Web"
"","defaultheader.Thu","Št"
"","defaultheader.Thursday","Štvrtok"
"","defaultheader.Tue","Ut"
"","defaultheader.Tuesday","Utorok"
"","defaultheader.UsefulInformation","Užitočné informácie"
"","defaultheader.UserNameHasPublishedThis","<<USERNAME>> zverejnil tento inzerát"
"","defaultheader.VoteUrl","/index.php?a=1&newpost=1"
"","defaultheader.Wed","St"
"","defaultheader.Wednesday","Streda"
"","defaultheader.Welcome","Vitajte"
"","defaultheader.WhatAreYouLookingFor","Čo hľadáte?"
"","defaultheader.WhatWouldYouLikeToDoNext","Čo by ste chceli robiť najbližšie"
"","defaultheader.WhereBuyersMeetSellers","Kde nákupcovia stretávajú predajcov"
"","defaultheader.YouCanPostWithoutHavingAnAccountItIsFastAndFree","Môžete uverejňovať aj bez konta. Je to rýchle a bezplatné!"
"","defaultheader.YourFriendsAdsOnBrand","Inzeráty vašich priateľov na <<BRAND>>"
"","defaultheader.YourLastVisitedAds","Vaše posledné navštívené inzeráty"
"","defaulthtmlhead.2CharactersMinimum","Najmenej 2 znaky"
"","defaulthtmlhead.Add a comment","Pridajte poznámku"
"","defaulthtmlhead.AreYouFromCountry","Ste z krajiny <country>?"
"","defaulthtmlhead.BidError","<<BRAND>> - Odoslanie ponuky"
"","defaulthtmlhead.BrandBehindTheScenes","<<BRAND>> Za scénou:"
"","defaulthtmlhead.BrowseBrand","Prezeranie <<BRAND>>"
"","defaulthtmlhead.BuyerInformation","Informácie o kupujúcom"
"","defaulthtmlhead.CheckOurYoutubeChannel","Pozrite si náš kanál <<YOUTUBE>>"
"","defaulthtmlhead.CheckOutOurNewTvAd","Pozrite si našu novú televíznu reklamu!"
"","defaulthtmlhead.CookiesHelp","<<BRAND>> - Pomocník pre súbory „cookie“"
"","defaulthtmlhead.Description1","On-line burza "
"","defaulthtmlhead.Description2","ponúka miestne reklamné inzeráty týkajúce sa pracovných príležitostí, aukcií, predaja, nehnuteľností, služieb, komunity a udalostí - uverejnite bezplatný reklamný inzerát"
"","defaulthtmlhead.Disclaimer","Odmietnutie zodpovednosti"
"","defaulthtmlhead.EntireSite","Celá lokalita"
"","defaulthtmlhead.EverythingHasAValueOn_HomePage","Everything has a value on <<LINK_HOME_PAGE>>, sell it now!"
"","defaulthtmlhead.FindAdsInRealEstateForSaleJobsVehiclesAndMoreNextToYourLocation","Nájdite si inzeráty v kategóriách nehnuteľnosť, kúpa/predaj, práca, vozidlá a iné."
"","defaulthtmlhead.FindOutWhoYouAreAt_HomePage","Pozrite si, kto ste na stránke <<LINK_HOME_PAGE>>"
"","defaulthtmlhead.FlagItem","Označte položku"
"","defaulthtmlhead.FreeClassifiedsInArea","Bezplatné inzeráty v <AREA>"
"","defaulthtmlhead.GeneralDescription","<AREA> ponúka miestne reklamné inzeráty týkajúce sa pracovných príležitostí, predaja, nehnuteľností, služieb, komunít a udalostí - uverejnite bezplatný reklamný inzerát"
"","defaulthtmlhead.GeneralKeywords","<AREA> , inzeráty, reklamné inzeráty, pracovné príležitosti, predaj, nehnuteľnosti, služby, komunity, udalosti"
"","defaulthtmlhead.GoBackToThePreviousPage","Späť na predchádzajúcu stránku."
"","defaulthtmlhead.HaveYouSeenThis","Už ste to videli?"
"","defaulthtmlhead.HelloUsername","Vitajte, <<USERNAME>>"
"","defaulthtmlhead.HomeSpecialTitle","Le site de petites annonces et d'enchères 100% gratuit ! : Voitures, Immobilier, Rencontres , Emploi..."
"","defaulthtmlhead.HomeTitle","<AREA> , reklamné inzeráty týkajúce sa pracovných príležitostí, predaja, nehnuteľností, služieb, komunít a udalostí"
"","defaulthtmlhead.InEveryBuyerLivesSeller","V každom kupujúcom sa skrýva predajca"
"","defaulthtmlhead.Is","je"
"","defaulthtmlhead.Keywords",", inzeráty, reklamné inzeráty, pracovné príležitosti, aukcie, predaj, nehnuteľnosti, služby, komunity, udalosti"
"","defaulthtmlhead.Last","Posledná"
"","defaulthtmlhead.LinkHomePage_TvAdCampaign","Televízna reklamná kampaň <<LINK_HOME_PAGE>>."
"","defaulthtmlhead.ListingTitle","<CATEGORY> <AREA>"
"","defaulthtmlhead.ListingUnavailable","Toto oznámenie je je prístupné"
"","defaulthtmlhead.LoginTitle","Vitajte na <<BRAND>>!"
"","defaulthtmlhead.MakeSureTheWebAddressYouEnteredIsCorrect","Uistite sa, že zadaná webová adresa je správna."
"","defaulthtmlhead.MoreResults","Viac výsledkov"
"","defaulthtmlhead.My Bids","Moje ponuky"
"","defaulthtmlhead.My Favorites","Moje obľúbené"
"","defaulthtmlhead.My Listings","Moje oznámenia"
"","defaulthtmlhead.My Messages","Moje správy"
"","defaulthtmlhead.MyBidsTitle","Moje oznámenia"
"","defaulthtmlhead.MyFavoritesTitle","Moje oznámenia"
"","defaulthtmlhead.MyListingTitle","Moje oznámenia"
"","defaulthtmlhead.MyOlxTitle","Môj OLX"
"","defaulthtmlhead.MyOLX_EditTitle","Editácia oznámenia - <<ITEM>>"
"","defaulthtmlhead.MyOLX_RenewTitle","Obnovenie oznámenia - <<ITEM>>"
"","defaulthtmlhead.NewUserRegistration","<<BRAND>> - Registrácia nového používateľa"
"","defaulthtmlhead.OtherRelatedSites","Iné podobné lokality:"
"","defaulthtmlhead.Personal Info","Osobné informácie"
"","defaulthtmlhead.PersonalInformationTitle","Osobné informácie"
"","defaulthtmlhead.PleaseTryAgainLaterAndGoToTheHomePage","Skúste akciu zopakovať neskôr. Dovtedy sa skúste vrátiť na stranu <<LINK_HOME_PAGE>> a možno, že nájdete, čo hľadáte. Ospravedlňujeme sa pre túto nepríjemnosť."
"","defaulthtmlhead.PleaseTryOneOfTheFollowingOptions","Vyskúšajte niektorú z nasledujúcich možností:"
"","defaulthtmlhead.Post","Uverejniť"
"","defaulthtmlhead.PostAnotherAd","Pošlite ďalší inzerát"
"","defaulthtmlhead.Read comments","Poznámky"
"","defaulthtmlhead.Region","Región"
"","defaulthtmlhead.RegisterError","<<BRAND>> - Chyba pri registrácii"
"","defaulthtmlhead.Remove","Odstrániť"
"","defaulthtmlhead.SearchTitle","Reklamný inzerát | <<BRAND>>.com"
"","defaulthtmlhead.SelectRegion","Vyberte región"
"","defaulthtmlhead.SellerInformation","Informácie o predajcovi"
"","defaulthtmlhead.SexualWarning","<<BRAND>> - Upozornenie a prehlásenie"
"","defaulthtmlhead.ShareThisVideo","Zverejnite toto video"
"","defaulthtmlhead.SorryThePageYouAreLookingForIsNotAvailable","Ľutujeme, hľadaná stránka nie je k dispozícii."
"","defaulthtmlhead.StayOnTheBrandCountryNameSite","Zostať na stránkach <<BRAND>> (krajina: <<COUNTRY_NAME>>)"
"","defaulthtmlhead.TakeALookToTheFirstTvAdCampaignofBrand","Pozrite si prvú televíznu reklamnú kampaň bezplatnej inzerčnej stránky <<BRAND>>, kde sa kupujúci stretnú predajcov."
"","defaulthtmlhead.TakeMeToBrandCountry_Homepage","Skok na stránky <<BRAND>> v krajine <country> (<<LINK_HOME_PAGE>>)"
"","defaulthtmlhead.ThisFeatureIsCurrentlyUnderMaintenance","Hop! Táto funkcia je pod údržbou."
"","defaulthtmlhead.TryToAccessThePageDirectlyFromTheBrandHomePage","Skúste prejsť na stránku priamo z <<LINK_HOME_PAGE>>úvodnej stránky<</LINK_HOME_PAGE>> <<BRAND>>."
"","defaulthtmlhead.TvAd_Title","Niekedy je to lepšie pustiť dole vodou"
"","defaulthtmlhead.UserNameAdsOnBrand","Inzeráty používateľa <<USER_NAME>> na <<BRAND>>"
"","defaulthtmlhead.UserNameFreeClassifieds","Bezplatné inzeráty používateľa <<USER_NAME>>"
