"location","source","target"
"","itemslisting.CATEGORY_REGION_CITY","<<CATEGORY>> - <<REGION>>"
"","itemslisting.Classified","Advertentie"
"","itemslisting.Classifieds","Advertenties"
"","itemslisting.ClearAll","Alles wissen"
"","itemslisting.ClickOnPostFreeButton","Klik op de knop ""Een nieuwe gratis advertentie plaatsen""."
"","itemslisting.ContactCustomerCare","Neem contact op met de klantenservice"
"","itemslisting.ContactSeller","Neem contact op met de verkoper"
"","itemslisting.D","d"
"","itemslisting.DatePosted","Plaatsingsdatum"
"","itemslisting.days","d"
"","itemslisting.Ending","Einddatum %s"
"","itemslisting.EndingSoonest","Eerst aflopend"
"","itemslisting.EventDate","Datum gebeurtenis"
"","itemslisting.FastRegistration","Onmiddellijk nadat dit simpele en snelle registratieproces is afgerond, bent u klaar om iets te plaatsen."
"","itemslisting.FeatureOnlinePayment","Promoot uw advertentie door online betaling."
"","itemslisting.FeatureViaSMS","Promoot uw advertentie via SMS."
"","itemslisting.FeatureYourAd","Promoot uw advertentie"
"","itemslisting.FeatureYourAdNow","Promoot nu uw advertentie om deze te laten weergeven boven normale advertenties en in de schijnwerpers te zetten op onze homepage."
"","itemslisting.FreeClassifieds","Gratis advertenties"
"","itemslisting.HighestFirst","Hoogste prijs eerst"
"","itemslisting.HighestPriceFirst","Hoogste prijs eerst"
"","itemslisting.hours","u"
"","itemslisting.IfYouDontHaveAccount","Als u geen account heeft en nog niet wilt registreren, kies dan gewoon een categorie en u bent klaar om een advertentie te plaatsen. U kunt u ook aanmelden voor een <<BRAND>>-account door uw algemene contactgegevens in te vullen. Daarna wordt u gevraagd om foto's te uploaden, en een titel en een beschrijving voor uw advertentie te geven."
"","itemslisting.Individuals","Particulieren"
"","itemslisting.Less","Minder"
"","itemslisting.ListedInCategory","Aangeboden in rubriek"
"","itemslisting.ListingsBy","Geplaatst door"
"","itemslisting.LowestFirst","Laagste prijs eerst"
"","itemslisting.LowestPriceFirst","Laagste prijs eerst"
"","itemslisting.minutes","m"
"","itemslisting.More","Meer"
"","itemslisting.NavigatorByAdType","op soort advertentie"
"","itemslisting.NavigatorByCategory","Rubriek"
"","itemslisting.NavigatorByLanguage","Advertentie in"
"","itemslisting.NavigatorByLocation","Locatie"
"","itemslisting.NavigatorBySellerType","Soort verkoper"
"","itemslisting.NavigatorBySubCategory","Rubriek"
"","itemslisting.NavigatorByType","Soort"
"","itemslisting.NewAdAddress","Adres advertentie"
"","itemslisting.NewAdDetails","Advertentiedetails"
"","itemslisting.NewAdTitle","Advertentietitel"
"","itemslisting.NewContactName","Naam contactpersoon"
"","itemslisting.NewDescribeAd","Beschrijf wat jouw advertentie uniek maakt"
"","itemslisting.NewEmailAdvertiser","E-mail adverteerder"
"","itemslisting.NewlyListed","Nieuw aangeboden"
"","itemslisting.NewPleaseSelect","Selecteer"
"","itemslisting.NewSelect","Selecteren"
"","itemslisting.NewShareThisAd","Deze advertentie delen"
"","itemslisting.Next","Volgende"
"","itemslisting.NoBids","Nog geen biedingen"
"","itemslisting.NoReserve","Geen minimumprijs"
"","itemslisting.NoResults","Sorry, er zijn geen items in deze categorie"
