"location","source","target"
"","defaultheader.Dec","Déc"
"","defaultheader.December","Décembre"
"","defaultheader.Distance","Distance"
"","defaultheader.DragThisIconLogoBrandToYourWindowsTaskbarToPin","Faites glisser cette icone  <<LOGO_IMAGE>> sur votre barre de lancement rapide Windows pour la mettre en favori."
"","defaultheader.Exact","Exact"
"","defaultheader.ExperienceBrandAsPinnedSite","Essayez <<BRAND>> comme Site Favori !"
"","defaultheader.Features","Fonctionnalités <<BRAND>>"
"","defaultheader.Feb","Févr"
"","defaultheader.February","Février"
"","defaultheader.FollowUsOnNetwork","Suivez-nous sur <<NETWORK>>"
"","defaultheader.FreeSite","<AREA> Annonces gratuites"
"","defaultheader.Fri","Ven"
"","defaultheader.Friday","Vendredi"
"","defaultheader.FriendName1AndFriendName2AreUsingBrand","<<friendName1>> et <<friendName2>> utilisent <<BRAND>>"
"","defaultheader.FriendName1FriendName2AndFriendsTotalMoreAreUsingBrand","<<friendName1>>, <<friendName2>> et <<friendsTotal>> amis en plus utilisent <<BRAND>>"
"","defaultheader.FriendName1IsUsingBrand","<<friendName1>> utilise <<BRAND>>"
"","defaultheader.FriendsTotalUsingBrand","<<friendName1>>, <<friendName2>> et <<friendsTotal>> amis en plus utilisent <<BRAND>>"
"","defaultheader.Hello","Bonjour, "
"","defaultheader.Help","Aide"
"","defaultheader.HelpUs","Nouveau : <<BRAND>> supporte maintenant les vidéos! Publiez dès maintenant!"
"","defaultheader.Home","Accueil"
"","defaultheader.ItemDetail","Détail de l'item"
"","defaultheader.Jan","Janv"
"","defaultheader.January","Janvier"
"","defaultheader.Jul","Juil"
"","defaultheader.July","Juillet"
"","defaultheader.Jun","Juin"
"","defaultheader.June","Juin"
"","defaultheader.JustOneStep","Plus qu'une étape!"
"","defaultheader.ListingLanguage","Annonces en"
"","defaultheader.Location","Endroit:"
"","defaultheader.M","minutes"
"","defaultheader.Mar","Mars"
"","defaultheader.March","Mars"
"","defaultheader.May","Mai"
"","defaultheader.miles","Miles"
"","defaultheader.Minutes","minutes"
"","defaultheader.MOBILE","Cellulaire"
"","defaultheader.Modify","Modifier"
"","defaultheader.Mon","Lun"
"","defaultheader.Monday","Lundi"
"","defaultheader.My OLX","Mon OLX"
"","defaultheader.MyAdsOnBrand","Mes annonces sur <<BRAND>>"
"","defaultheader.MyClassifieds","Mes Petites Annonces"
"","defaultheader.NeverAskAgain","Ne plus demander"
"","defaultheader.NewListings","Nouvelles Annonces"
"","defaultheader.Not_You?","Ce n&acute;est pas vous?"
"","defaultheader.Nov","Nov"
"","defaultheader.November","Novembre"
"","defaultheader.Oct","Oct"
"","defaultheader.October","Octobre"
"","defaultheader.OLX","<<BRAND>>"
"","defaultheader.Optional","Facultatif"
"","defaultheader.Or","Ou"
"","defaultheader.PlaceAdFree","Placez une Annonce GRATUITEMENT"
"","defaultheader.PlaceAnAd","Placez une Annonce"
"","defaultheader.PlaceFreeAd","Placez une Annonce Gratuite"
"","defaultheader.PopularSearches","Recherches Populaires"
"","defaultheader.Post","Publier"
"","defaultheader.PostAdFree","Publiez une Annonce GRATUITEMENT"
"","defaultheader.PostAFreeAd","Publier une Annonce Gratuite"
"","defaultheader.PostAFreeClassifiedAd","Publier une Petite Annonce Gratuite"
"","defaultheader.PostAnAd","Publiez une Annonce"
"","defaultheader.PostPicturesButton","Envoyer des photos"
"","defaultheader.PublishFreeAd","Publier une Petite Annonce Gratuite"
"","defaultheader.Region","Région"
"","defaultheader.Register","S'inscrire"
"","defaultheader.Register2","S'inscrire"
"","defaultheader.Sat","Sam"
"","defaultheader.Saturday","Samedi"
"","defaultheader.Search","Chercher"
"","defaultheader.Seconds","secondes"
"","defaultheader.SelectCityState","Sélectionnez une Ville/État"
"","defaultheader.SelectCountry","Sélectionnez un Pays"
"","defaultheader.Selected_Region","Endroit:"
"","defaultheader.Sep","Sept"
"","defaultheader.September","Septembre"
"","defaultheader.SiteLanguage","Annonces en:"
"","defaultheader.State","État"
"","defaultheader.StayConnected","Restez Connecté(e)"
"","defaultheader.Sun","Dim"
"","defaultheader.Sunday","Dimanche"
"","defaultheader.TellUsYourOpinionAnswerTheSurvey","Donnez-nous votre opinion, répondez au sondage !"
"","defaultheader.TheWeb","Le Web"
"","defaultheader.Thu","Jeu"
"","defaultheader.Thursday","Jeudi"
"","defaultheader.Tue","Mar"
"","defaultheader.Tuesday","Mardi"
